Sexo;Sección;Edad (grupos quinquenales);Total
Ambos Sexos;0801905064;Total;1.605
Ambos Sexos;0801905065;Total;1.709
Ambos Sexos;0801905066;Total;1.320
Ambos Sexos;0801905067;Total;1.299
Ambos Sexos;0801905068;Total;1.509
Ambos Sexos;0801905069;Total;1.746
Ambos Sexos;0801905070;Total;1.458
Ambos Sexos;0801905071;Total;1.643
Ambos Sexos;0801905072;Total;1.774
Ambos Sexos;0801905073;Total;1.625
Ambos Sexos;0801905074;Total;1.694
Ambos Sexos;0801905075;Total;1.858
Ambos Sexos;0801905076;Total;1.416
Ambos Sexos;0801905077;Total;1.475
Ambos Sexos;0801905078;Total;2.151
Ambos Sexos;0801905079;Total;1.304
Ambos Sexos;0801905080;Total;1.433
Ambos Sexos;0801905081;Total;1.598
Ambos Sexos;0801905082;Total;1.667
Ambos Sexos;0801905083;Total;1.267
Ambos Sexos;0801905084;Total;1.332
Ambos Sexos;0801905085;Total;1.334
Ambos Sexos;0801905086;Total;1.352
Ambos Sexos;0801905087;Total;1.568
Ambos Sexos;0801905088;Total;1.818
Ambos Sexos;0801905089;Total;1.768
Ambos Sexos;0801905090;Total;1.940
Ambos Sexos;0801905091;Total;1.564
Ambos Sexos;0801905092;Total;1.629
Ambos Sexos;0801905093;Total;1.130
Ambos Sexos;0801905094;Total;2.779
Ambos Sexos;0801905095;Total;1.691
Ambos Sexos;0801905096;Total;1.146
Ambos Sexos;0801905097;Total;1.688
Ambos Sexos;0801905098;Total;1.590
Ambos Sexos;0801906001;Total;1.172
Ambos Sexos;0801906002;Total;1.485
Ambos Sexos;0801906003;Total;2.330
Ambos Sexos;0801906004;Total;1.444
Ambos Sexos;0801906006;Total;1.053
Ambos Sexos;0801906007;Total;1.987
Ambos Sexos;0801906008;Total;2.033
Ambos Sexos;0801906009;Total;1.296
Ambos Sexos;0801906010;Total;1.066
Ambos Sexos;0801906011;Total;1.298
Ambos Sexos;0801906012;Total;1.159
Ambos Sexos;0801906013;Total;1.784
Ambos Sexos;0801906014;Total;1.433
Ambos Sexos;0801906015;Total;1.421
Ambos Sexos;0801906016;Total;1.584
Ambos Sexos;0801906017;Total;1.384
Ambos Sexos;0801906018;Total;1.313
Ambos Sexos;0801906019;Total;1.505
Ambos Sexos;0801906020;Total;1.176
Ambos Sexos;0801906021;Total;1.368
Ambos Sexos;0801906022;Total;1.387
Ambos Sexos;0801906023;Total;1.307
Ambos Sexos;0801906024;Total;1.740
Ambos Sexos;0801906025;Total;1.421
Ambos Sexos;0801906026;Total;1.018
Ambos Sexos;0801906027;Total;1.226
Ambos Sexos;0801906028;Total;1.341
Ambos Sexos;0801906029;Total;1.296
Ambos Sexos;0801906030;Total;1.337
Ambos Sexos;0801906031;Total;1.105
Ambos Sexos;0801906032;Total;1.167
Ambos Sexos;0801906033;Total;1.326
Ambos Sexos;0801906034;Total;1.231
Ambos Sexos;0801906035;Total;1.078
Ambos Sexos;0801906036;Total;1.489
Ambos Sexos;0801906037;Total;1.130
Ambos Sexos;0801906038;Total;1.502
Ambos Sexos;0801906039;Total;1.598
Ambos Sexos;0801906040;Total;1.673
Ambos Sexos;0801906041;Total;1.757
Ambos Sexos;0801906042;Total;1.725
Ambos Sexos;0801906043;Total;1.271
Ambos Sexos;0801906044;Total;1.609
Ambos Sexos;0801906045;Total;1.295
Ambos Sexos;0801906046;Total;1.161
Ambos Sexos;0801906047;Total;1.264
Ambos Sexos;0801906048;Total;1.397
Ambos Sexos;0801906049;Total;1.184
Ambos Sexos;0801906050;Total;1.317
Ambos Sexos;0801906051;Total;1.247
Ambos Sexos;0801906052;Total;1.527
Ambos Sexos;0801906053;Total;1.506
Ambos Sexos;0801906054;Total;1.646
Ambos Sexos;0801906055;Total;1.483
Ambos Sexos;0801906056;Total;1.564
Ambos Sexos;0801906057;Total;1.507
Ambos Sexos;0801906058;Total;1.687
Ambos Sexos;0801906059;Total;1.540
Ambos Sexos;0801906060;Total;1.793
Ambos Sexos;0801906061;Total;1.310
Ambos Sexos;0801906062;Total;1.223
Ambos Sexos;0801906063;Total;1.516
Ambos Sexos;0801906064;Total;1.898
Ambos Sexos;0801906065;Total;1.195
Ambos Sexos;0801906066;Total;975
Ambos Sexos;0801906067;Total;1.772
Ambos Sexos;0801906068;Total;1.594
Ambos Sexos;0801906069;Total;1.064
Ambos Sexos;0801906070;Total;1.882
Ambos Sexos;0801906071;Total;1.070
Ambos Sexos;0801906072;Total;1.627
Ambos Sexos;0801906073;Total;1.362
Ambos Sexos;0801906074;Total;1.125
Ambos Sexos;0801906075;Total;1.082
Ambos Sexos;0801906076;Total;1.301
Ambos Sexos;0801906077;Total;1.213
Ambos Sexos;0801906078;Total;1.331
Ambos Sexos;0801906079;Total;1.117
Ambos Sexos;0801906080;Total;1.192
Ambos Sexos;0801906081;Total;1.323
Ambos Sexos;0801906082;Total;2.597
Ambos Sexos;0801906083;Total;1.740
Ambos Sexos;0801906084;Total;1.550
Ambos Sexos;0801906085;Total;1.284
Ambos Sexos;0801906086;Total;989
Ambos Sexos;0801906087;Total;1.890
Ambos Sexos;0801906088;Total;1.249
Ambos Sexos;0801907001;Total;1.592
Ambos Sexos;0801907002;Total;1.163
Ambos Sexos;0801907003;Total;1.317
Ambos Sexos;0801907004;Total;1.549
Ambos Sexos;0801907005;Total;1.489
Ambos Sexos;0801907006;Total;957
Ambos Sexos;0801907007;Total;1.448
Ambos Sexos;0801907008;Total;1.455
Ambos Sexos;0801907009;Total;1.183
Ambos Sexos;0801907010;Total;1.359
Ambos Sexos;0801907011;Total;1.176
Ambos Sexos;0801907012;Total;1.574
Ambos Sexos;0801907013;Total;1.221
Ambos Sexos;0801907014;Total;889
Ambos Sexos;0801907015;Total;1.426
Ambos Sexos;0801907016;Total;1.365
Ambos Sexos;0801907017;Total;1.781
Ambos Sexos;0801907018;Total;1.724
Ambos Sexos;0801907019;Total;1.486
Ambos Sexos;0801907020;Total;1.738
Ambos Sexos;0801907021;Total;1.058
Ambos Sexos;0801907022;Total;1.141
Ambos Sexos;0801907023;Total;1.320
Ambos Sexos;0801907024;Total;1.497
Ambos Sexos;0801907025;Total;1.467
Ambos Sexos;0801907026;Total;1.109
Ambos Sexos;0801907027;Total;2.154
Ambos Sexos;0801907028;Total;1.459
Ambos Sexos;0801907029;Total;1.296
Ambos Sexos;0801907030;Total;1.407
Ambos Sexos;0801907031;Total;1.624
Ambos Sexos;0801907032;Total;1.470
Ambos Sexos;0801907033;Total;1.460
Ambos Sexos;0801907034;Total;1.889
Ambos Sexos;0801907035;Total;1.780
Ambos Sexos;0801907036;Total;1.431
Ambos Sexos;0801907037;Total;1.534
Ambos Sexos;0801907038;Total;1.275
Ambos Sexos;0801907039;Total;1.634
Ambos Sexos;0801907040;Total;1.480
Ambos Sexos;0801907041;Total;1.373
Ambos Sexos;0801907042;Total;1.503
Ambos Sexos;0801907043;Total;1.402
Ambos Sexos;0801907044;Total;1.292
Ambos Sexos;0801907045;Total;1.611
Ambos Sexos;0801907046;Total;1.450
Ambos Sexos;0801907047;Total;1.478
Ambos Sexos;0801907048;Total;1.329
Ambos Sexos;0801907049;Total;1.223
Ambos Sexos;0801907050;Total;1.203
Ambos Sexos;0801907051;Total;1.805
Ambos Sexos;0801907052;Total;1.269
Ambos Sexos;0801907053;Total;1.479
Ambos Sexos;0801907054;Total;1.579
Ambos Sexos;0801907055;Total;1.201
Ambos Sexos;0801907056;Total;1.197
Ambos Sexos;0801907057;Total;1.433
Ambos Sexos;0801907058;Total;1.389
Ambos Sexos;0801907059;Total;1.339
Ambos Sexos;0801907060;Total;1.863
Ambos Sexos;0801907061;Total;1.214
Ambos Sexos;0801907062;Total;1.355
Ambos Sexos;0801907063;Total;1.466
Ambos Sexos;0801907064;Total;1.692
Ambos Sexos;0801907065;Total;1.727
Ambos Sexos;0801907066;Total;1.850
Ambos Sexos;0801907067;Total;1.548
Ambos Sexos;0801907068;Total;1.317
Ambos Sexos;0801907069;Total;1.419
Ambos Sexos;0801907070;Total;1.457
Ambos Sexos;0801907071;Total;1.340
Ambos Sexos;0801907072;Total;1.406
Ambos Sexos;0801907073;Total;1.144
Ambos Sexos;0801907074;Total;1.693
Ambos Sexos;0801907075;Total;1.230
Ambos Sexos;0801907076;Total;1.373
Ambos Sexos;0801907077;Total;1.348
Ambos Sexos;0801907078;Total;1.418
Ambos Sexos;0801907079;Total;1.479
Ambos Sexos;0801907080;Total;1.811
Ambos Sexos;0801907081;Total;1.973
Ambos Sexos;0801907082;Total;1.295
Ambos Sexos;0801907083;Total;1.328
Ambos Sexos;0801907084;Total;1.341
Ambos Sexos;0801907085;Total;1.263
Ambos Sexos;0801907086;Total;1.463
Ambos Sexos;0801907087;Total;1.604
Ambos Sexos;0801907088;Total;1.647
Ambos Sexos;0801907089;Total;1.367
Ambos Sexos;0801907090;Total;1.457
Ambos Sexos;0801907091;Total;1.227
Ambos Sexos;0801907092;Total;1.561
Ambos Sexos;0801907093;Total;1.765
Ambos Sexos;0801907094;Total;1.265
Ambos Sexos;0801907095;Total;1.549
Ambos Sexos;0801907096;Total;1.457
Ambos Sexos;0801907097;Total;892
Ambos Sexos;0801907098;Total;2.210
Ambos Sexos;0801907099;Total;1.022
Ambos Sexos;0801907100;Total;1.221
Ambos Sexos;0801907101;Total;1.430
Ambos Sexos;0801907102;Total;706
Ambos Sexos;0801907103;Total;1.640
Ambos Sexos;0801907104;Total;1.584
Ambos Sexos;0801907105;Total;1.057
Ambos Sexos;0801907106;Total;1.198
Ambos Sexos;0801907107;Total;1.202
Ambos Sexos;0801907108;Total;1.243
Ambos Sexos;0801907109;Total;1.643
Ambos Sexos;0801907110;Total;1.058
Ambos Sexos;0801907111;Total;922
Ambos Sexos;0801907112;Total;1.290
Ambos Sexos;0801907113;Total;1.226
Ambos Sexos;0801907114;Total;1.208
Ambos Sexos;0801907115;Total;1.054
Ambos Sexos;0801907116;Total;1.505
Ambos Sexos;0801907117;Total;2.722
Ambos Sexos;0801907118;Total;1.282
Ambos Sexos;0801907119;Total;1.273
Ambos Sexos;0801907120;Total;1.272
Ambos Sexos;0801907121;Total;1.187
Ambos Sexos;0801907122;Total;1.333
Ambos Sexos;0801907123;Total;1.423
Ambos Sexos;0801908001;Total;1.249
Ambos Sexos;0801908002;Total;1.276
Ambos Sexos;0801908003;Total;1.248
Ambos Sexos;0801908004;Total;1.444
Ambos Sexos;0801908005;Total;1.164
Ambos Sexos;0801908006;Total;1.587
Ambos Sexos;0801908007;Total;1.204
Ambos Sexos;0801908008;Total;1.657
Ambos Sexos;0801908009;Total;1.752
Ambos Sexos;0801908010;Total;1.107
Ambos Sexos;0801908011;Total;1.198
Ambos Sexos;0801908012;Total;1.339
Ambos Sexos;0801908013;Total;1.182
Ambos Sexos;0801908014;Total;1.308
Ambos Sexos;0801908015;Total;1.450
Ambos Sexos;0801908016;Total;1.164
Ambos Sexos;0801908017;Total;1.370
Ambos Sexos;0801908018;Total;1.550
Ambos Sexos;0801908019;Total;1.820
Ambos Sexos;0801908020;Total;1.403
Ambos Sexos;0801908021;Total;1.497
Ambos Sexos;0801908022;Total;1.278
Ambos Sexos;0801908023;Total;1.402
Ambos Sexos;0801908024;Total;1.367
Ambos Sexos;0801908025;Total;1.192
Ambos Sexos;0801908026;Total;1.420
Ambos Sexos;0801908027;Total;1.406
Ambos Sexos;0801908028;Total;1.123
Ambos Sexos;0801908029;Total;1.554
Ambos Sexos;0801908030;Total;1.513
Ambos Sexos;0801908031;Total;1.305
Ambos Sexos;0801908032;Total;1.305
Ambos Sexos;0801908033;Total;1.455
Ambos Sexos;0801908034;Total;1.307
Ambos Sexos;0801908035;Total;4.132
Ambos Sexos;0801908036;Total;1.562
Ambos Sexos;0801908037;Total;1.561
Ambos Sexos;0801908038;Total;1.580
Ambos Sexos;0801908039;Total;1.558
Ambos Sexos;0801908040;Total;1.929
Ambos Sexos;0801908041;Total;2.527
Ambos Sexos;0801908042;Total;1.273
Ambos Sexos;0801908043;Total;1.148
Ambos Sexos;0801908044;Total;1.344
Ambos Sexos;0801908045;Total;1.791
Ambos Sexos;0801908046;Total;1.416
Ambos Sexos;0801908047;Total;1.646
Ambos Sexos;0801908048;Total;1.008
Ambos Sexos;0801908049;Total;1.265
Ambos Sexos;0801908050;Total;1.424
Ambos Sexos;0801908051;Total;1.351
Ambos Sexos;0801908052;Total;895
Ambos Sexos;0801908053;Total;1.162
Ambos Sexos;0801908054;Total;1.709
Ambos Sexos;0801908055;Total;1.841
Ambos Sexos;0801908056;Total;1.499
Ambos Sexos;0801908057;Total;1.344
Ambos Sexos;0801908058;Total;1.629
Ambos Sexos;0801908059;Total;988
Ambos Sexos;0801908060;Total;1.200
Ambos Sexos;0801908061;Total;1.644
Ambos Sexos;0801908062;Total;1.164
Ambos Sexos;0801908063;Total;1.067
Ambos Sexos;0801908064;Total;1.790
Ambos Sexos;0801908065;Total;1.751
Ambos Sexos;0801908066;Total;1.626
Ambos Sexos;0801908067;Total;1.794
Ambos Sexos;0801908068;Total;1.942
Ambos Sexos;0801908069;Total;1.583
Ambos Sexos;0801908070;Total;1.476
Ambos Sexos;0801908071;Total;1.753
Ambos Sexos;0801908072;Total;1.185
Ambos Sexos;0801908073;Total;1.749
Ambos Sexos;0801908074;Total;1.510
Ambos Sexos;0801908075;Total;1.951
Ambos Sexos;0801908076;Total;1.616
Ambos Sexos;0801908077;Total;1.433
Ambos Sexos;0801908078;Total;1.563
Ambos Sexos;0801908079;Total;1.441
Ambos Sexos;0801908080;Total;1.539
Ambos Sexos;0801908081;Total;1.655
Ambos Sexos;0801908082;Total;1.588
Ambos Sexos;0801908083;Total;1.326
Ambos Sexos;0801908084;Total;1.158
Ambos Sexos;0801908085;Total;1.475
Ambos Sexos;0801908086;Total;1.713
Ambos Sexos;0801908087;Total;1.278
Ambos Sexos;0801908088;Total;1.283
Ambos Sexos;0801908089;Total;1.245
Ambos Sexos;0801908090;Total;1.242
Ambos Sexos;0801908091;Total;1.216
Ambos Sexos;0801908092;Total;995
Ambos Sexos;0801908093;Total;1.272
Ambos Sexos;0801908094;Total;1.456
Ambos Sexos;0801908095;Total;1.057
Ambos Sexos;0801908096;Total;1.551
Ambos Sexos;0801908097;Total;1.374
Ambos Sexos;0801908098;Total;1.288
Ambos Sexos;0801908099;Total;1.428
Ambos Sexos;0801908100;Total;1.297
Ambos Sexos;0801908101;Total;1.760
Ambos Sexos;0801908102;Total;1.587
Ambos Sexos;0801908103;Total;1.660
Ambos Sexos;0801908104;Total;1.301
Ambos Sexos;0801908105;Total;1.490
Ambos Sexos;0801908106;Total;1.292
Ambos Sexos;0801908107;Total;1.923
Ambos Sexos;0801908108;Total;1.943
Ambos Sexos;0801908109;Total;978
Ambos Sexos;0801908110;Total;1.999
Ambos Sexos;0801908111;Total;1.704
Ambos Sexos;0801908112;Total;1.776
Ambos Sexos;0801908113;Total;1.808
Ambos Sexos;0801908114;Total;2.047
Ambos Sexos;0801908115;Total;1.749
Ambos Sexos;0801908116;Total;1.421
Ambos Sexos;0801908215;Total;1.574
Ambos Sexos;0801909001;Total;2.734
Ambos Sexos;0801909002;Total;2.129
Ambos Sexos;0801909003;Total;2.232
Ambos Sexos;0801909004;Total;1.735
Ambos Sexos;0801909005;Total;1.649
Ambos Sexos;0801909006;Total;1.281
Ambos Sexos;0801909007;Total;1.341
Ambos Sexos;0801909008;Total;1.896
Ambos Sexos;0801909009;Total;1.451
Ambos Sexos;0801909010;Total;1.861
Ambos Sexos;0801909011;Total;1.682
Ambos Sexos;0801909013;Total;1.998
Ambos Sexos;0801909014;Total;2.929
Ambos Sexos;0801909015;Total;1.823
Ambos Sexos;0801909016;Total;1.355
Ambos Sexos;0801909017;Total;1.531
Ambos Sexos;0801909018;Total;1.495
Ambos Sexos;0801909019;Total;2.720
Ambos Sexos;0801909020;Total;1.151
Ambos Sexos;0801909021;Total;1.385
Ambos Sexos;0801909022;Total;1.271
Ambos Sexos;0801909023;Total;1.221
Ambos Sexos;0801909024;Total;1.157
Ambos Sexos;0801909025;Total;1.227
Ambos Sexos;0801909026;Total;1.583
Ambos Sexos;0801909027;Total;1.306
Ambos Sexos;0801909028;Total;1.617
Ambos Sexos;0801909029;Total;1.135
Ambos Sexos;0801909030;Total;1.470
Ambos Sexos;0801909031;Total;1.197
Ambos Sexos;0801909032;Total;2.209
Ambos Sexos;0801909033;Total;3.233
Ambos Sexos;0801909034;Total;1.399
Ambos Sexos;0801909035;Total;1.576
Ambos Sexos;0801909036;Total;1.403
Ambos Sexos;0801909037;Total;1.585
Ambos Sexos;0801909038;Total;1.740
Ambos Sexos;0801909039;Total;1.561
Ambos Sexos;0801909040;Total;1.601
Ambos Sexos;0801909041;Total;1.403
Ambos Sexos;0801909042;Total;1.295
Ambos Sexos;0801909043;Total;1.344
Ambos Sexos;0801909044;Total;1.490
Ambos Sexos;0801909045;Total;1.437
Ambos Sexos;0801909046;Total;1.341
Ambos Sexos;0801909047;Total;1.576
Ambos Sexos;0801909048;Total;1.383
Ambos Sexos;0801909049;Total;1.338
Ambos Sexos;0801909050;Total;1.580
Ambos Sexos;0801909051;Total;1.244
Ambos Sexos;0801909052;Total;1.226
Ambos Sexos;0801909053;Total;1.594
Ambos Sexos;0801909054;Total;1.105
Ambos Sexos;0801909055;Total;1.706
Ambos Sexos;0801909056;Total;1.153
Ambos Sexos;0801909057;Total;1.666
Ambos Sexos;0801909058;Total;1.515
Ambos Sexos;0801909059;Total;1.425
Ambos Sexos;0801909060;Total;1.340
Ambos Sexos;0801909061;Total;1.713
Ambos Sexos;0801909062;Total;1.161
Ambos Sexos;0801909063;Total;1.153
Ambos Sexos;0801909064;Total;1.171
Ambos Sexos;0801909065;Total;2.127
Ambos Sexos;0801909066;Total;1.492
Ambos Sexos;0801909067;Total;1.562
Ambos Sexos;0801909068;Total;1.594
Ambos Sexos;0801909069;Total;893
Ambos Sexos;0801909070;Total;1.719
Ambos Sexos;0801909071;Total;1.920
Ambos Sexos;0801909072;Total;1.506
Ambos Sexos;0801909073;Total;1.527
Ambos Sexos;0801909074;Total;1.678
Ambos Sexos;0801909075;Total;1.586
Ambos Sexos;0801909076;Total;1.502
Ambos Sexos;0801909077;Total;1.647
Ambos Sexos;0801909078;Total;1.442
Ambos Sexos;0801909079;Total;1.662
Ambos Sexos;0801909080;Total;1.379
Ambos Sexos;0801909081;Total;1.762
Ambos Sexos;0801909082;Total;2.056
Ambos Sexos;0801909083;Total;1.631
Ambos Sexos;0801909084;Total;1.778
Ambos Sexos;0801909085;Total;1.766
Ambos Sexos;0801909086;Total;1.472
Ambos Sexos;0801909087;Total;1.344
Ambos Sexos;0801909088;Total;1.913
Ambos Sexos;0801909089;Total;1.526
Ambos Sexos;0801909090;Total;1.627
Ambos Sexos;0801909091;Total;1.931
Ambos Sexos;0801909092;Total;1.943
Ambos Sexos;0801909093;Total;1.338
Ambos Sexos;0801909094;Total;2.070
Ambos Sexos;0801909095;Total;2.089
Ambos Sexos;0801909156;Total;1.250
Ambos Sexos;0801910001;Total;1.595
Ambos Sexos;0801910002;Total;1.756
Ambos Sexos;0801910003;Total;1.578
Ambos Sexos;0801910004;Total;1.563
Ambos Sexos;0801910005;Total;1.677
Ambos Sexos;0801910006;Total;1.866
Ambos Sexos;0801910007;Total;1.331
Ambos Sexos;0801910008;Total;1.733
Ambos Sexos;0801910009;Total;1.640
Ambos Sexos;0801910010;Total;1.746
Ambos Sexos;0801910011;Total;1.212
Ambos Sexos;0801910012;Total;1.845
Ambos Sexos;0801910013;Total;1.425
Ambos Sexos;0801910014;Total;1.533
Ambos Sexos;0801910015;Total;1.973
Ambos Sexos;0801910016;Total;1.274
Ambos Sexos;0801910017;Total;1.701
Ambos Sexos;0801910018;Total;1.469
Ambos Sexos;0801910019;Total;1.600
Ambos Sexos;0801910020;Total;1.466
Ambos Sexos;0801910021;Total;1.395
Ambos Sexos;0801910022;Total;1.379
Ambos Sexos;0801910023;Total;1.491
Ambos Sexos;0801910024;Total;1.485
Ambos Sexos;0801910025;Total;1.363
Ambos Sexos;0801910026;Total;1.543
Ambos Sexos;0801910027;Total;1.500
Ambos Sexos;0801910028;Total;1.799
Ambos Sexos;0801910029;Total;1.466
Ambos Sexos;0801910030;Total;1.793
Ambos Sexos;0801910031;Total;1.583
Ambos Sexos;0801910032;Total;1.388
Ambos Sexos;0801910033;Total;872
Ambos Sexos;0801910034;Total;1.707
Ambos Sexos;0801910035;Total;1.997
Ambos Sexos;0801910036;Total;1.469
Ambos Sexos;0801910037;Total;1.078
Ambos Sexos;0801910038;Total;1.607
Ambos Sexos;0801910039;Total;1.881
Ambos Sexos;0801910040;Total;1.878
Ambos Sexos;0801910041;Total;1.655
Ambos Sexos;0801910042;Total;3.035
Ambos Sexos;0801910043;Total;2.340
Ambos Sexos;0801910044;Total;1.579
Ambos Sexos;0801910045;Total;1.298
Ambos Sexos;0801910046;Total;1.237
Ambos Sexos;0801910047;Total;1.813
Ambos Sexos;0801910048;Total;1.723
Ambos Sexos;0801910049;Total;1.294
Ambos Sexos;0801910050;Total;1.577
Ambos Sexos;0801910051;Total;1.595
Ambos Sexos;0801910052;Total;2.429
Ambos Sexos;0801910053;Total;1.757
Ambos Sexos;0801910054;Total;957
Ambos Sexos;0801910055;Total;2.622
Ambos Sexos;0801910056;Total;1.921
Ambos Sexos;0801910057;Total;1.454
Ambos Sexos;0801910058;Total;1.163
Ambos Sexos;0801910059;Total;1.772
Ambos Sexos;0801910060;Total;1.625
Ambos Sexos;0801910061;Total;1.781
Ambos Sexos;0801910062;Total;1.523
Ambos Sexos;0801910063;Total;1.232
Ambos Sexos;0801910064;Total;1.690
Ambos Sexos;0801910065;Total;1.596
Ambos Sexos;0801910066;Total;2.137
Ambos Sexos;0801910067;Total;1.911
Ambos Sexos;0801910068;Total;1.659
Ambos Sexos;0801910069;Total;2.738
Ambos Sexos;0801910070;Total;1.650
Ambos Sexos;0801910071;Total;1.814
Ambos Sexos;0801910072;Total;1.992
Ambos Sexos;0801910073;Total;1.471
Ambos Sexos;0801910074;Total;1.686
Ambos Sexos;0801910075;Total;1.558
Ambos Sexos;0801910076;Total;2.221
Ambos Sexos;0801910077;Total;1.814
Ambos Sexos;0801910078;Total;2.442
Ambos Sexos;0801910079;Total;1.779
Ambos Sexos;0801910080;Total;2.295
Ambos Sexos;0801910081;Total;2.081
Ambos Sexos;0801910082;Total;2.039
Ambos Sexos;0801910083;Total;2.274
Ambos Sexos;0801910084;Total;1.659
Ambos Sexos;0801910085;Total;2.114
Ambos Sexos;0801910086;Total;1.959
Ambos Sexos;0801910087;Total;1.818
Ambos Sexos;0801910088;Total;1.680
Ambos Sexos;0801910089;Total;4.059
Ambos Sexos;0801910090;Total;1.464
Ambos Sexos;0801910091;Total;1.975
Ambos Sexos;0801910092;Total;1.463
Ambos Sexos;0801910093;Total;1.069
Ambos Sexos;0801910094;Total;3.024
Ambos Sexos;0801910095;Total;1.308
Ambos Sexos;0801910096;Total;1.658
Ambos Sexos;0801910097;Total;1.631
Ambos Sexos;0801910098;Total;1.830
Ambos Sexos;0801910099;Total;1.140
Ambos Sexos;0801910100;Total;1.691
Ambos Sexos;0801910101;Total;1.665
Ambos Sexos;0801910102;Total;2.644
Ambos Sexos;0801910103;Total;2.200
Ambos Sexos;0801910104;Total;1.595
Ambos Sexos;0801910105;Total;2.238
Ambos Sexos;0801910106;Total;1.030
Ambos Sexos;0801910107;Total;1.575
Ambos Sexos;0801910108;Total;1.305
Ambos Sexos;0801910109;Total;1.610
Ambos Sexos;0801910110;Total;1.663
Ambos Sexos;0801910111;Total;1.309
Ambos Sexos;0801910112;Total;1.558
Ambos Sexos;0801910113;Total;1.195
Ambos Sexos;0801910114;Total;1.427
Ambos Sexos;0801910115;Total;1.397
Ambos Sexos;0801910116;Total;1.865
Ambos Sexos;0801910117;Total;1.268
Ambos Sexos;0801910118;Total;1.008
Ambos Sexos;0801910119;Total;1.172
Ambos Sexos;0801910120;Total;1.473
Ambos Sexos;0801910121;Total;1.572
Ambos Sexos;0801910122;Total;1.485
Ambos Sexos;0801910123;Total;1.349
Ambos Sexos;0801910124;Total;1.103
Ambos Sexos;0801910125;Total;1.083
Ambos Sexos;0801910126;Total;1.018
Ambos Sexos;0801910127;Total;1.010
Ambos Sexos;0801910128;Total;1.572
Ambos Sexos;0801910129;Total;1.167
Ambos Sexos;0801910130;Total;1.199
Ambos Sexos;0801910131;Total;1.148
Ambos Sexos;0801910132;Total;1.288
Ambos Sexos;0801910133;Total;1.702
Ambos Sexos;0801910134;Total;1.578
Ambos Sexos;0801910135;Total;1.256
Ambos Sexos;0801910136;Total;1.374
Ambos Sexos;0801910137;Total;1.590
Ambos Sexos;0801910138;Total;1.629
Ambos Sexos;0801910139;Total;1.675
Ambos Sexos;0801910140;Total;1.638
Ambos Sexos;0801910141;Total;1.123
Ambos Sexos;0801910142;Total;1.634
Ambos Sexos;0801910143;Total;1.727
Ambos Sexos;0801910234;Total;1.842
Ambos Sexos;0801910235;Total;1.341
Ambos Sexos;0801910236;Total;1.618
Ambos Sexos;0801910237;Total;917
Ambos Sexos;0802001001;Total;2.479
Ambos Sexos;0802001002;Total;2.116
Ambos Sexos;0802001003;Total;2.705
Ambos Sexos;0802101001;Total;64
Ambos Sexos;0802201001;Total;1.646
Ambos Sexos;0802201002;Total;1.401
Ambos Sexos;0802201003;Total;872
Ambos Sexos;0802201004;Total;2.078
Ambos Sexos;0802201005;Total;1.850
Ambos Sexos;0802201006;Total;887
Ambos Sexos;0802202001;Total;1.080
Ambos Sexos;0802202002;Total;963
Ambos Sexos;0802202003;Total;1.566
Ambos Sexos;0802202004;Total;1.887
Ambos Sexos;0802202005;Total;1.213
Ambos Sexos;0802203001;Total;547
Ambos Sexos;0802204001;Total;770
Ambos Sexos;0802301001;Total;1.874
Ambos Sexos;0802301002;Total;2.111
Ambos Sexos;0802301003;Total;2.328
Ambos Sexos;0802301004;Total;2.109
Ambos Sexos;0802301005;Total;936
Ambos Sexos;0802401001;Total;464
Ambos Sexos;0802501001;Total;2.110
Ambos Sexos;0802601001;Total;258
Ambos Sexos;0802701001;Total;979
Ambos Sexos;0802801001;Total;1.482
Ambos Sexos;0802901001;Total;2.463
Ambos Sexos;0802901002;Total;2.284
Ambos Sexos;0803001001;Total;2.289
Ambos Sexos;0803001002;Total;2.859
Ambos Sexos;0803001003;Total;2.284
Ambos Sexos;0803101001;Total;823
Ambos Sexos;0803101002;Total;2.833
Ambos Sexos;0803201001;Total;3.021
Ambos Sexos;0803301001;Total;1.644
Ambos Sexos;0803301002;Total;2.610
Ambos Sexos;0803301003;Total;954
Ambos Sexos;0803302001;Total;2.275
Ambos Sexos;0803303001;Total;1.900
Ambos Sexos;0803303002;Total;1.037
Ambos Sexos;0803303003;Total;2.351
Ambos Sexos;0803303004;Total;1.817
Ambos Sexos;0803303005;Total;2.290
Ambos Sexos;0803303006;Total;934
Ambos Sexos;0803401001;Total;1.045
Ambos Sexos;0803501001;Total;1.927
Ambos Sexos;0803501002;Total;1.190
Ambos Sexos;0803501003;Total;2.843
Ambos Sexos;0803502001;Total;1.038
Ambos Sexos;0803502002;Total;2.414
Ambos Sexos;0803503001;Total;2.687
Ambos Sexos;0803503002;Total;2.642
Ambos Sexos;0803503003;Total;2.074
Ambos Sexos;0803503004;Total;2.462
Ambos Sexos;0803601001;Total;188
Ambos Sexos;0803701001;Total;2.513
Ambos Sexos;0803801001;Total;2.129
Ambos Sexos;0803901001;Total;541
Ambos Sexos;0804001001;Total;2.036
Ambos Sexos;0804001002;Total;1.988
Ambos Sexos;0804001003;Total;1.324
Ambos Sexos;0804001004;Total;2.614
Ambos Sexos;0804001005;Total;1.490
