Sexo;Sección;Edad (grupos quinquenales);Total
Ambos Sexos;0801509009;Total;1.048
Ambos Sexos;0801509010;Total;1.210
Ambos Sexos;0801509011;Total;1.029
Ambos Sexos;0801509012;Total;1.615
Ambos Sexos;0801509013;Total;765
Ambos Sexos;0801509014;Total;1.590
Ambos Sexos;0801509015;Total;1.867
Ambos Sexos;0801509016;Total;1.666
Ambos Sexos;0801509017;Total;1.923
Ambos Sexos;0801509018;Total;1.762
Ambos Sexos;0801509019;Total;1.258
Ambos Sexos;0801509020;Total;635
Ambos Sexos;0801509021;Total;1.651
Ambos Sexos;0801509022;Total;1.389
Ambos Sexos;0801509023;Total;1.687
Ambos Sexos;0801509024;Total;1.937
Ambos Sexos;0801509025;Total;1.305
Ambos Sexos;0801509026;Total;1.245
Ambos Sexos;0801509027;Total;995
Ambos Sexos;0801509028;Total;2.199
Ambos Sexos;0801509030;Total;2.070
Ambos Sexos;0801509031;Total;947
Ambos Sexos;0801509032;Total;1.059
Ambos Sexos;0801509033;Total;1.532
Ambos Sexos;0801509034;Total;1.749
Ambos Sexos;0801509035;Total;1.631
Ambos Sexos;0801509036;Total;1.241
Ambos Sexos;0801509037;Total;1.678
Ambos Sexos;0801509038;Total;1.826
Ambos Sexos;0801509042;Total;1.507
Ambos Sexos;0801509043;Total;1.656
Ambos Sexos;0801509044;Total;1.010
Ambos Sexos;0801509045;Total;1.588
Ambos Sexos;0801509047;Total;1.100
Ambos Sexos;0801509049;Total;1.703
Ambos Sexos;0801509052;Total;852
Ambos Sexos;0801509053;Total;1.220
Ambos Sexos;0801509054;Total;1.200
Ambos Sexos;0801509057;Total;1.334
Ambos Sexos;0801509058;Total;1.370
Ambos Sexos;0801509059;Total;1.184
Ambos Sexos;0801601001;Total;2.140
Ambos Sexos;0801701001;Total;2.815
Ambos Sexos;0801701002;Total;1.025
Ambos Sexos;0801801001;Total;1.516
Ambos Sexos;0801801002;Total;1.281
Ambos Sexos;0801801003;Total;395
Ambos Sexos;0801901001;Total;1.284
Ambos Sexos;0801901002;Total;1.463
Ambos Sexos;0801901003;Total;3.681
Ambos Sexos;0801901004;Total;2.926
Ambos Sexos;0801901005;Total;2.372
Ambos Sexos;0801901006;Total;1.539
Ambos Sexos;0801901007;Total;1.993
Ambos Sexos;0801901008;Total;3.268
Ambos Sexos;0801901009;Total;2.247
Ambos Sexos;0801901010;Total;2.434
Ambos Sexos;0801901011;Total;3.214
Ambos Sexos;0801901012;Total;1.938
Ambos Sexos;0801901013;Total;1.437
Ambos Sexos;0801901014;Total;2.124
Ambos Sexos;0801901015;Total;2.378
Ambos Sexos;0801901016;Total;2.206
Ambos Sexos;0801901017;Total;2.635
Ambos Sexos;0801901018;Total;1.589
Ambos Sexos;0801901019;Total;2.963
Ambos Sexos;0801901020;Total;2.170
Ambos Sexos;0801901021;Total;2.177
Ambos Sexos;0801901022;Total;1.422
Ambos Sexos;0801901023;Total;2.109
Ambos Sexos;0801901025;Total;1.346
Ambos Sexos;0801901026;Total;7.817
Ambos Sexos;0801901027;Total;1.574
Ambos Sexos;0801901028;Total;1.904
Ambos Sexos;0801901029;Total;1.453
Ambos Sexos;0801901030;Total;2.418
Ambos Sexos;0801901031;Total;1.558
Ambos Sexos;0801901032;Total;1.814
Ambos Sexos;0801901033;Total;1.113
Ambos Sexos;0801901034;Total;940
Ambos Sexos;0801901035;Total;1.271
Ambos Sexos;0801901036;Total;1.193
Ambos Sexos;0801901037;Total;1.416
Ambos Sexos;0801901038;Total;1.518
Ambos Sexos;0801901039;Total;1.349
Ambos Sexos;0801901040;Total;1.107
Ambos Sexos;0801901041;Total;1.585
Ambos Sexos;0801901042;Total;1.753
Ambos Sexos;0801901043;Total;1.675
Ambos Sexos;0801901044;Total;1.429
Ambos Sexos;0801901045;Total;1.960
Ambos Sexos;0801901046;Total;1.827
Ambos Sexos;0801901047;Total;1.735
Ambos Sexos;0801901048;Total;2.119
Ambos Sexos;0801901049;Total;1.614
Ambos Sexos;0801901050;Total;1.577
Ambos Sexos;0801901051;Total;1.887
Ambos Sexos;0801901052;Total;2.876
Ambos Sexos;0801901053;Total;1.831
Ambos Sexos;0801901054;Total;1.269
Ambos Sexos;0801901055;Total;1.361
Ambos Sexos;0801902001;Total;1.280
Ambos Sexos;0801902002;Total;3.404
Ambos Sexos;0801902003;Total;1.205
Ambos Sexos;0801902004;Total;1.543
Ambos Sexos;0801902005;Total;2.047
Ambos Sexos;0801902006;Total;1.677
Ambos Sexos;0801902007;Total;1.289
Ambos Sexos;0801902008;Total;1.940
Ambos Sexos;0801902009;Total;1.797
Ambos Sexos;0801902010;Total;1.243
Ambos Sexos;0801902011;Total;1.144
Ambos Sexos;0801902012;Total;1.536
Ambos Sexos;0801902013;Total;1.166
Ambos Sexos;0801902014;Total;1.376
Ambos Sexos;0801902015;Total;1.600
Ambos Sexos;0801902016;Total;1.892
Ambos Sexos;0801902017;Total;1.972
Ambos Sexos;0801902018;Total;1.844
Ambos Sexos;0801902019;Total;1.981
Ambos Sexos;0801902020;Total;1.480
Ambos Sexos;0801902021;Total;1.530
Ambos Sexos;0801902022;Total;1.303
Ambos Sexos;0801902023;Total;1.053
Ambos Sexos;0801902024;Total;1.149
Ambos Sexos;0801902025;Total;1.162
Ambos Sexos;0801902026;Total;2.179
Ambos Sexos;0801902027;Total;2.058
Ambos Sexos;0801902028;Total;2.074
Ambos Sexos;0801902029;Total;1.314
Ambos Sexos;0801902030;Total;1.376
Ambos Sexos;0801902031;Total;1.048
Ambos Sexos;0801902032;Total;1.187
Ambos Sexos;0801902033;Total;1.216
Ambos Sexos;0801902034;Total;1.237
Ambos Sexos;0801902035;Total;1.307
Ambos Sexos;0801902036;Total;1.196
Ambos Sexos;0801902037;Total;1.184
